Application name:;Driver Services;Application file format version:;1;Data date:;2012-05-01;Language:;English;;;;;
Type of Service;Company;Name of Service Point;Street address;Postal code;City;Phone 1;Phone 2;Web address;Email address;Notes;Latitude;Longitude
Cafe;Cafe Galleria;Cafe Galleria;Konstaapelinkatu 4;02650;Espoo;09 541 9710;;;;;;
Cafe;Cafe Mellsten Oy;Cafe Mellsten;Koukkuniementie 1 A;02170;Espoo;09 452 2995;;;;;;
Gas station;ABC;ABC Automaatti Espoo Otaniemi;Miestentie 1;02150;Espoo;010 76 82188;;http://www.abcasemat.fi/verkosto/automaatit/espoo;;24h;;
Gas station;ABC;ABC Automaatti Espoo Niittykumpu;Niittymaantie 4;02630;Espoo;;;http://www.abcasemat.fi/verkosto/automaatit/niittykumpu_aut;;24h;;
Gas station;ABC;ABC Nihtisilta Espoo;Nihtisilta 4 (Kauniaistentie);02630;Espoo;010 76 66730;;http://www.abcasemat.fi/verkosto/liikennemyymalat/espoo_nihtisilta;lm.nihtisilta@sok.fi;24h;;
Gas station;ABC;ABC Deli Pohjois-Tapiola;Kalevalantie 3;02100;Espoo;010 76 66930;;http://www.abcasemat.fi/verkosto/liikennemyymalat/deli_tapiola;deli.pohjois-tapiola@sok.fi;24h;;
Gas station;ABC;ABC Deli Mikkelä;Mikkelänkallio 1;02770;Espoo;010 76 66920;;http://www.abcasemat.fi/verkosto/liikennemyymalat/deli_mikkela_espoo;abcdeli.mikkela@sok.fi;6-22 / su 11-21;;
Gas station;ABC;ABC Deli Espoonlahti Espoo;Nöykkiönkatu 2;02300;Espoo;010 76 66800;;http://www.abcasemat.fi/verkosto/liikennemyymalat/abc_espoonlahti_espoo;lm.abcespoonlahti@sok.fi;6-22 / su 11-21;;
Gas station;Neste;Neste Oil Espoo Kivenlahti Kivenlahdentie;Kivenlahdentie 5;02320;Espoo;;;;;;;
Gas station;Neste;Neste Oil Espoo Mankki (ent. Kauklahti), ;Lapinkyläntie 5;02780;Espoo;;;;;;;
Gas station;Neste;Neste Oil Espoo Matinkylä;Gräsanlaakso 2;02230;Espoo;;;;;;;
Gas station;Neste;Neste Oil Espoo Muurala;Nimismiehenpelto 1;02770;Espoo;;;;;;;
Gas station;Neste;Neste Oil Espoo Nihtisilta;Nihtisillankuja 2;02630;Espoo;;;;;;;
Gas station;Neste;Neste Oil Espoo Olari;Uuskartanontie 2;02200;Espoo;;;;;;;
Gas station;Neste;Neste Oil Espoo Otaniemi;Miestentie 1;02150;Espoo;;;;;;;
